Paper,Year,Bosu2016_57extra,Liebchen2010,RosliTemperoLuxton-Reilly2013,Bosu2016_LitRev,Snowballing,Quantitative,Qualitative,Data collection,Manual noise checking,Automatic noise checking,Empirical analysis of quality,Data quality meta-data,Is noise a problem?,Quality incl defects,"Cost incl productivity, schedule",Other problem domain
Morasca2009.pdf,2009,x,,,x,,Y,Y,,,,Y,,Y,Y,Y,
BachmannBernstein2009.pdf,2009,,x,x,,,,Y,,Y,,Y,,Y,,,Y
VanHulseKhoshgoftaar2009.pdf,2009,,x,x,,,Y,,,,,Y,,Y,Y,,
TanLiBoehmYangHeMoazeni2009.pdf,2009,x,x,x,,,Y,,,Y,,,,Y,,Y,
CatalDiri2009.pdf,2009,x,x,x,,,Y,,,,,,,Y,Y,,
TurhanMenziesBenerDiStefano2009.pdf,2009,x,,,x,,Y,Y,,,,,,Y,Y,,
BerlinRazGlezerZviran2009.pdf,2009,,x,x,x,,Y,,,,,,,Y,,Y,
LokanMendes2009.pdf,2009,,x,x,x,,Y,,,,,,Y,Y,,Y,
BirdBachmannAuneDuffyBernsteinFilkovDevanbu2009.pdf,2009,,x,x,,,Y,Y,,,,,,Y,,,Y
ArandaVenolia2009.pdf,2009,,x,x,,,,Y,Y,,,,,Y,,,Y
SchackmannSchaeferLichter2009.pdf,2009,,x,x,,,,Y,,,,,,Y,,,Y
WangLoJiangZhangMei2009.pdf,2009,,x,x,,,,Y,,,,,,Y,,,Y
Mockus2009.pdf,2009,,x,x,,,,Y,,Y,,,,Y,,Y,
AhmedMuzaffar2009.pdf,2009,,x,x,,,Y,,,,,,,Y,,Y,
BajwaGencel2009.pdf,2009,,x,x,,,Y,,,,,,Y,Y,,Y,
Lavazza2009.pdf,2009,,x,x,,,Y,,,Y,,,,Y,,Y,
LiXieGoh2009.pdf,2009,,x,x,,,Y,,,,,,,Y,,Y,
PendharkarRodger2009.pdf,2009,,x,x,,,Y,,,,,,Y,Y,,Y,
TrudelAbran2009.pdf,2009,,x,x,,,Y,,,Y,,,,Y,,Y,
AndrewsMenzies2009.pdf,2009,,x,x,,,Y,,,,,,,Y,Y,,
ArafatRiehle2009.pdf,2009,,x,,,,,Y,Y,Y,,,,Y,,,Y
JohnsonZhang2009.pdf,2009,,x,,,,,Y,Y,,,,,Y,,,Y
BabarZhang2009.pdf,2009,,x,,,,,Y,,,,,,Y,,,Y
GeipelSchweitzer2009.pdf,2009,,x,,,,,Y,,Y,,,,Y,,,Y
DucournauMorandatProvat2009.pdf,2009,,x,,,,Y,,Y,,,,,Y,,,Y
SinschekSeweMezini2009.pdf,2009,,x,,,,Y,,,,,,,Y,,,Y
UmarjiSeaman2009.pdf,2009,,x,,,,Y,,,,,,,Y,,,Y
WinterRonkkoHellman2009.pdf,2009,,x,,,,Y,,,,,,,Y,,,Y
TosunTurhanBener2009.pdf,2009,,,,x,,Y,Y,,,,,,Y,Y,,
MendesPollinoMosley2009.pdf,2009,,,,x,,Y,,Y,,,,,Y,,Y,
